model,group,setup,seed,run,AP_50_95,AP_50,AP_75,AP_car,AP_pedestrian,AP_cyclist,path
FRCNN,mixed,Mix 30/70,3,MIX_30_70_frcnn_seed3,0.2094588492370751,0.42655988511754933,0.1894495203787599,0.4449075931074016,0.17542129280058397,0.008047661803239714,/home/iat/Documents/Subie_Master/ADD/Two-Stage/External/project/metrics_kitti/mixed/MIX_30_70_frcnn_seed3_kitti_eval.json
FRCNN,mixed,Mix 50/50,1,MIX_50_50_frcnn_seed1,0.21017616929555677,0.4266940964664919,0.18966417715768594,0.45005489510318014,0.1721068281799262,0.008366784603564046,/home/iat/Documents/Subie_Master/ADD/Two-Stage/External/project/metrics_kitti/mixed/MIX_50_50_frcnn_seed1_kitti_eval.json
FRCNN,mixed,Mix 70/30,1,MIX_70_30_frcnn_seed1,0.20179288831399456,0.4174816423791005,0.17948084420248342,0.4389925286226124,0.15847258297400887,0.007913553345362364,/home/iat/Documents/Subie_Master/ADD/Two-Stage/External/project/metrics_kitti/mixed/MIX_70_30_frcnn_seed1_kitti_eval.json
FRCNN,real,Real,3,E6_frcnn_real_seed3,0.20169482911160602,0.4248183454900828,0.1693368251118387,0.4174692589563798,0.18466786723568943,0.0029473611427488573,/home/iat/Documents/Subie_Master/ADD/Two-Stage/External/project/metrics_kitti/real/E6_frcnn_real_seed3_kitti_eval.json
FRCNN,synthetic,Synthetic,1,SYNTHIA_frcnn_seed1,0.18121538994092423,0.3933700562901001,0.15069757609474152,0.37974211674701147,0.1580718704649458,0.005832182610815374,/home/iat/Documents/Subie_Master/ADD/Two-Stage/External/project/metrics_kitti/synthetic/SYNTHIA_frcnn_seed1_kitti_eval.json
YOLO,mixed,Mix 30/70,1,MIX_30_70_yolov8m_seed1,0.24128788764354445,0.4614864534514298,0.2300304935782502,0.4665860969725753,0.2455478668831892,0.011729699074868809,/home/iat/Documents/Subie_Master/ADD/One-Stage/External/project/metrics_kitti/mixed/MIX_30_70_yolov8m_seed1_kitti_eval/internal/metrics.json
YOLO,mixed,Mix 50/50,2,MIX_50_50_yolov8m_seed2,0.24445369253822627,0.4672705939598442,0.23420193628894073,0.47354089341523525,0.2500298054037771,0.009790378795666403,/home/iat/Documents/Subie_Master/ADD/One-Stage/External/project/metrics_kitti/mixed/MIX_50_50_yolov8m_seed2_kitti_eval/internal/metrics.json
YOLO,mixed,Mix 70/30,2,MIX_70_30_yolov8m_seed2,0.2585759859982708,0.48541799899097193,0.2525461645243796,0.4945738563484642,0.26657303924534725,0.014581062401000853,/home/iat/Documents/Subie_Master/ADD/One-Stage/External/project/metrics_kitti/mixed/MIX_70_30_yolov8m_seed2_kitti_eval/internal/metrics.json
YOLO,real,Real,2,E1_yolov8m_real_seed2,0.2612653921270521,0.48327146705436175,0.2579535322062229,0.5038965541856849,0.2658062172845718,0.014093404910899467,/home/iat/Documents/Subie_Master/ADD/One-Stage/External/project/metrics_kitti/real/E1_yolov8m_real_seed2_kitti_eval/internal/metrics.json
YOLO,synthetic,Synthetic,3,SYNTHIA_yolov8m_seed3,0.1651853088093681,0.34933063274172926,0.1406230693423357,0.27826193336316846,0.21066036277370448,0.006633630291231378,/home/iat/Documents/Subie_Master/ADD/One-Stage/External/project/metrics_kitti/synthetic/SYNTHIA_yolov8m_seed3_kitti_eval/internal/metrics.json
