scenario,scale,architecture,regime,real_pct,synthetic_pct,eval_domain,eval_dataset,metric,class,mean,std,min,max,n
ADD,large,FasterRCNN,hybrid_30_70,30,70,real_internal,BDD,AP_50,car,0.6557566756096299,0.0016349829422160468,0.6547878883557636,0.6576443716501208,3
ADD,large,FasterRCNN,hybrid_30_70,30,70,real_internal,BDD,AP_50,cyclist,0.228515353313289,0.012218989211208295,0.2182487457417598,0.2420302604106396,3
ADD,large,FasterRCNN,hybrid_30_70,30,70,real_internal,BDD,AP_50,pedestrian,0.3685559858207088,0.004775987227326759,0.3633475644941545,0.3727300099950149,3
ADD,large,FasterRCNN,hybrid_30_70,30,70,real_internal,BDD,AP_50_95,car,0.3476484523459258,0.0011744134731571359,0.3464140602281079,0.3487519138472988,3
ADD,large,FasterRCNN,hybrid_30_70,30,70,real_internal,BDD,AP_50_95,cyclist,0.09303716733505353,0.006284542879299161,0.0863717639177634,0.0988547789344859,3
ADD,large,FasterRCNN,hybrid_30_70,30,70,real_internal,BDD,AP_50_95,pedestrian,0.13966370687144314,0.00182530146850571,0.1379594289934866,0.1415897653311305,3
ADD,large,FasterRCNN,hybrid_30_70,30,70,real_internal,BDD,AP_75,car,0.33026908037391295,0.0020725026217627866,0.3287413500127754,0.3326281875658886,3
ADD,large,FasterRCNN,hybrid_30_70,30,70,real_internal,BDD,AP_75,cyclist,0.06454676273632247,0.007613393893571533,0.0559557650926556,0.0704577603026788,3
ADD,large,FasterRCNN,hybrid_30_70,30,70,real_internal,BDD,AP_75,pedestrian,0.07528150155257644,0.002054393784545504,0.0729139388342151,0.0765938087961084,3
ADD,large,FasterRCNN,hybrid_30_70,30,70,synthetic_internal,SYNTHIA,AP_50,car,0.5681064715779983,0.003034740846407323,0.5646486977342099,0.5703278034600279,3
ADD,large,FasterRCNN,hybrid_30_70,30,70,synthetic_internal,SYNTHIA,AP_50,cyclist,0.34286447015651866,0.0004189147616604409,0.3424927968223316,0.3433184183247227,3
ADD,large,FasterRCNN,hybrid_30_70,30,70,synthetic_internal,SYNTHIA,AP_50,pedestrian,0.34608285198774763,0.00048092569903470354,0.3457287885155959,0.3466303817956915,3
ADD,large,FasterRCNN,hybrid_30_70,30,70,synthetic_internal,SYNTHIA,AP_50_95,car,0.3482758821536455,0.002217588208563465,0.3457491568319584,0.3498990250589698,3
ADD,large,FasterRCNN,hybrid_30_70,30,70,synthetic_internal,SYNTHIA,AP_50_95,cyclist,0.16634310347515655,0.0014556204873629201,0.1649010691065699,0.1678119399311271,3
ADD,large,FasterRCNN,hybrid_30_70,30,70,synthetic_internal,SYNTHIA,AP_50_95,pedestrian,0.1661122350320857,0.0010142072093397064,0.1649588770694411,0.1668648126233509,3
ADD,large,FasterRCNN,hybrid_30_70,30,70,synthetic_internal,SYNTHIA,AP_75,car,0.36206004975353095,0.004297298190503183,0.3571520891740207,0.3651470497511795,3
ADD,large,FasterRCNN,hybrid_30_70,30,70,synthetic_internal,SYNTHIA,AP_75,cyclist,0.13933971626327327,0.0023462751858873993,0.137873635420438,0.1420458158499504,3
ADD,large,FasterRCNN,hybrid_30_70,30,70,synthetic_internal,SYNTHIA,AP_75,pedestrian,0.13819253390758587,0.0017448473567933484,0.1366405459031244,0.1400811788991275,3
ADD,large,FasterRCNN,hybrid_50_50,50,50,real_internal,BDD,AP_50,car,0.6773121485771578,0.002609594171197034,0.6753343831687671,0.6802698671633849,3
ADD,large,FasterRCNN,hybrid_50_50,50,50,real_internal,BDD,AP_50,cyclist,0.2466444822726609,0.000694254416372749,0.2460148663633043,0.2473890309045701,3
ADD,large,FasterRCNN,hybrid_50_50,50,50,real_internal,BDD,AP_50,pedestrian,0.39677091902656886,0.0007386648322631967,0.3961823556219206,0.3975998226265497,3
ADD,large,FasterRCNN,hybrid_50_50,50,50,real_internal,BDD,AP_50_95,car,0.3624209674070997,0.001230084210086734,0.3613178404937109,0.3637474117731103,3
ADD,large,FasterRCNN,hybrid_50_50,50,50,real_internal,BDD,AP_50_95,cyclist,0.10322084908894873,0.0016531420558887025,0.1016496155369261,0.1049452403323891,3
ADD,large,FasterRCNN,hybrid_50_50,50,50,real_internal,BDD,AP_50_95,pedestrian,0.14895271159413945,0.0002347121658783525,0.1486978418336517,0.1491599641084187,3
ADD,large,FasterRCNN,hybrid_50_50,50,50,real_internal,BDD,AP_75,car,0.3463878509626508,0.0010296687563509325,0.3452892363924183,0.3473308615210071,3
ADD,large,FasterRCNN,hybrid_50_50,50,50,real_internal,BDD,AP_75,cyclist,0.07092403592878727,0.002887409843204454,0.0677729620617743,0.0734430693997039,3
ADD,large,FasterRCNN,hybrid_50_50,50,50,real_internal,BDD,AP_75,pedestrian,0.08043081315527313,0.0032176145776458753,0.0783148939471066,0.0841336183122504,3
ADD,large,FasterRCNN,hybrid_50_50,50,50,synthetic_internal,SYNTHIA,AP_50,car,0.5523822088882896,0.0014351114191139933,0.5509615982369241,0.5538313943248101,3
ADD,large,FasterRCNN,hybrid_50_50,50,50,synthetic_internal,SYNTHIA,AP_50,cyclist,0.3333590161341761,0.0013732024089870131,0.3320540675007145,0.3347915652255713,3
ADD,large,FasterRCNN,hybrid_50_50,50,50,synthetic_internal,SYNTHIA,AP_50,pedestrian,0.33645422580670775,0.0007209889562532722,0.335666249302461,0.3370809045111609,3
ADD,large,FasterRCNN,hybrid_50_50,50,50,synthetic_internal,SYNTHIA,AP_50_95,car,0.33742120964126143,0.0015623400606818224,0.3356704686490055,0.3386735230358997,3
ADD,large,FasterRCNN,hybrid_50_50,50,50,synthetic_internal,SYNTHIA,AP_50_95,cyclist,0.15692635469679697,0.0009282212462411539,0.1560691549281743,0.1579121808363031,3
ADD,large,FasterRCNN,hybrid_50_50,50,50,synthetic_internal,SYNTHIA,AP_50_95,pedestrian,0.16134301839005824,0.0011288690776622937,0.1602279491688132,0.1624851989348803,3
ADD,large,FasterRCNN,hybrid_50_50,50,50,synthetic_internal,SYNTHIA,AP_75,car,0.3481766340966959,0.0020371925649079006,0.3464260103805791,0.3504126961154903,3
ADD,large,FasterRCNN,hybrid_50_50,50,50,synthetic_internal,SYNTHIA,AP_75,cyclist,0.12502625681693416,0.00044301859777127523,0.1245395232176292,0.1254059441229382,3
ADD,large,FasterRCNN,hybrid_50_50,50,50,synthetic_internal,SYNTHIA,AP_75,pedestrian,0.1352357180060765,0.0011685158104166717,0.1343687376268212,0.1365645784909918,3
ADD,large,FasterRCNN,hybrid_70_30,70,30,real_internal,BDD,AP_50,car,0.7153518919394916,0.002135769602788104,0.7133479155216919,0.7175986976787431,3
