scenario,scale,architecture,regime,real_pct,synthetic_pct,seed,eval_domain,eval_dataset,metric,class,value,selected_seed,source_file
ADD,large,YOLOv8m,hybrid_30_70,30,70,1,external,KITTI,AP_50_95,all,0.24128788764354445,True,ADD\One-Stage\External\project\metrics_kitti\mixed\MIX_30_70_yolov8m_seed1_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,hybrid_30_70,30,70,1,external,KITTI,AP_50,all,0.4614864534514298,True,ADD\One-Stage\External\project\metrics_kitti\mixed\MIX_30_70_yolov8m_seed1_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,hybrid_30_70,30,70,1,external,KITTI,AP_75,all,0.2300304935782502,True,ADD\One-Stage\External\project\metrics_kitti\mixed\MIX_30_70_yolov8m_seed1_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,hybrid_30_70,30,70,1,external,KITTI,AR_1,all,0.12028750440460464,True,ADD\One-Stage\External\project\metrics_kitti\mixed\MIX_30_70_yolov8m_seed1_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,hybrid_30_70,30,70,1,external,KITTI,AR_10,all,0.3111520410062967,True,ADD\One-Stage\External\project\metrics_kitti\mixed\MIX_30_70_yolov8m_seed1_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,hybrid_30_70,30,70,1,external,KITTI,AR_100,all,0.33548026164704214,True,ADD\One-Stage\External\project\metrics_kitti\mixed\MIX_30_70_yolov8m_seed1_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,hybrid_30_70,30,70,1,external,KITTI,AP_50_95,car,0.4665860969725753,True,ADD\One-Stage\External\project\metrics_kitti\mixed\MIX_30_70_yolov8m_seed1_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,hybrid_30_70,30,70,1,external,KITTI,AP_50,car,0.7822934409449438,True,ADD\One-Stage\External\project\metrics_kitti\mixed\MIX_30_70_yolov8m_seed1_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,hybrid_30_70,30,70,1,external,KITTI,AP_75,car,0.4958030831768059,True,ADD\One-Stage\External\project\metrics_kitti\mixed\MIX_30_70_yolov8m_seed1_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,hybrid_30_70,30,70,1,external,KITTI,AR_1,car,0.15327560806951085,True,ADD\One-Stage\External\project\metrics_kitti\mixed\MIX_30_70_yolov8m_seed1_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,hybrid_30_70,30,70,1,external,KITTI,AR_10,car,0.5224376897868375,True,ADD\One-Stage\External\project\metrics_kitti\mixed\MIX_30_70_yolov8m_seed1_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,hybrid_30_70,30,70,1,external,KITTI,AR_100,car,0.5527013619554434,True,ADD\One-Stage\External\project\metrics_kitti\mixed\MIX_30_70_yolov8m_seed1_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,hybrid_30_70,30,70,1,external,KITTI,AP_50_95,pedestrian,0.2455478668831892,True,ADD\One-Stage\External\project\metrics_kitti\mixed\MIX_30_70_yolov8m_seed1_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,hybrid_30_70,30,70,1,external,KITTI,AP_50,pedestrian,0.5347983790349187,True,ADD\One-Stage\External\project\metrics_kitti\mixed\MIX_30_70_yolov8m_seed1_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,hybrid_30_70,30,70,1,external,KITTI,AP_75,pedestrian,0.1936150212439652,True,ADD\One-Stage\External\project\metrics_kitti\mixed\MIX_30_70_yolov8m_seed1_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,hybrid_30_70,30,70,1,external,KITTI,AR_1,pedestrian,0.16530048842641748,True,ADD\One-Stage\External\project\metrics_kitti\mixed\MIX_30_70_yolov8m_seed1_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,hybrid_30_70,30,70,1,external,KITTI,AR_10,pedestrian,0.34174984073051606,True,ADD\One-Stage\External\project\metrics_kitti\mixed\MIX_30_70_yolov8m_seed1_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,hybrid_30_70,30,70,1,external,KITTI,AR_100,pedestrian,0.3837332767041835,True,ADD\One-Stage\External\project\metrics_kitti\mixed\MIX_30_70_yolov8m_seed1_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,hybrid_30_70,30,70,1,external,KITTI,AP_50_95,cyclist,0.011729699074868809,True,ADD\One-Stage\External\project\metrics_kitti\mixed\MIX_30_70_yolov8m_seed1_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,hybrid_30_70,30,70,1,external,KITTI,AP_50,cyclist,0.0673675403744271,True,ADD\One-Stage\External\project\metrics_kitti\mixed\MIX_30_70_yolov8m_seed1_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,hybrid_30_70,30,70,1,external,KITTI,AP_75,cyclist,0.0006733763139795788,True,ADD\One-Stage\External\project\metrics_kitti\mixed\MIX_30_70_yolov8m_seed1_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,hybrid_30_70,30,70,1,external,KITTI,AR_1,cyclist,0.042286416717885675,True,ADD\One-Stage\External\project\metrics_kitti\mixed\MIX_30_70_yolov8m_seed1_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,hybrid_30_70,30,70,1,external,KITTI,AR_10,cyclist,0.06926859250153657,True,ADD\One-Stage\External\project\metrics_kitti\mixed\MIX_30_70_yolov8m_seed1_kitti_eval\internal\metrics.json
